area,area_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,mapping_coverage_pct,coverage_flag,overall_mention_rate_pct,area_mention_rate_pct,lift_pp
Gümüşlük,7,PAYMENT_REFUND,7,100.0,True,6.666666666666667,LOW,52.11864406779661,100.0,47.88135593220339
Gümüşlük,7,PRICE_VALUE,7,100.0,True,6.666666666666667,LOW,47.88135593220339,100.0,52.11864406779661
Gümüşlük,7,CHECKIN_CHECKOUT,0,0.0,True,6.666666666666667,LOW,1.694915254237288,0.0,-1.694915254237288
Gümüşlük,7,AIR_CONDITIONING,0,0.0,True,6.666666666666667,LOW,8.05084745762712,0.0,-8.05084745762712
Gümüşlük,7,NOISE,0,0.0,True,6.666666666666667,LOW,5.508474576271187,0.0,-5.508474576271187
Gümüşlük,7,FAMILY_CHILDREN,0,0.0,True,6.666666666666667,LOW,22.45762711864407,0.0,-22.45762711864407
Gümüşlük,7,TRANSPORT_TRANSFER,0,0.0,True,6.666666666666667,LOW,5.508474576271187,0.0,-5.508474576271187
Gümüşlük,7,MANAGEMENT_COMMUNICATION,7,100.0,True,6.666666666666667,LOW,59.32203389830509,100.0,40.67796610169491
Gümüşlük,7,SPA_WELLNESS,0,0.0,True,6.666666666666667,LOW,5.932203389830509,0.0,-5.932203389830509
Gümüşlük,7,SAFETY_SECURITY,1,14.285714285714286,True,6.666666666666667,LOW,22.033898305084747,14.285714285714286,-7.748184019370461
Güvercinlik,39,STAFF_SERVICE,27,69.23076923076923,False,50.0,ADEQUATE_EXPLORATORY,67.37288135593221,69.23076923076923,1.8578878748370187
Güvercinlik,39,CLEANLINESS_HYGIENE,15,38.46153846153846,False,50.0,ADEQUATE_EXPLORATORY,44.91525423728814,38.46153846153846,-6.453715775749679
Güvercinlik,39,FOOD_BEVERAGE,20,51.282051282051285,False,50.0,ADEQUATE_EXPLORATORY,51.69491525423729,51.282051282051285,-0.41286397218600257
Güvercinlik,39,ROOM,21,53.84615384615385,False,50.0,ADEQUATE_EXPLORATORY,60.16949152542373,53.84615384615385,-6.323337679269883
Güvercinlik,39,BEACH_SEA,13,33.333333333333336,False,50.0,ADEQUATE_EXPLORATORY,29.661016949152543,33.333333333333336,3.6723163841807924
Güvercinlik,39,POOL,7,17.94871794871795,False,50.0,ADEQUATE_EXPLORATORY,16.52542372881356,17.94871794871795,1.4232942199043883
Güvercinlik,39,FACILITIES_MAINTENANCE,15,38.46153846153846,False,50.0,ADEQUATE_EXPLORATORY,38.983050847457626,38.46153846153846,-0.5215123859191664
Güvercinlik,39,RESERVATION,12,30.76923076923077,False,50.0,ADEQUATE_EXPLORATORY,39.83050847457627,30.76923076923077,-9.0612777053455
Güvercinlik,39,PAYMENT_REFUND,18,46.15384615384615,False,50.0,ADEQUATE_EXPLORATORY,52.11864406779661,46.15384615384615,-5.964797913950456
Güvercinlik,39,PRICE_VALUE,18,46.15384615384615,False,50.0,ADEQUATE_EXPLORATORY,47.88135593220339,46.15384615384615,-1.7275097783572377
Güvercinlik,39,CHECKIN_CHECKOUT,0,0.0,False,50.0,ADEQUATE_EXPLORATORY,1.694915254237288,0.0,-1.694915254237288
Güvercinlik,39,AIR_CONDITIONING,1,2.5641025641025643,False,50.0,ADEQUATE_EXPLORATORY,8.05084745762712,2.5641025641025643,-5.4867448935245555
Güvercinlik,39,NOISE,1,2.5641025641025643,False,50.0,ADEQUATE_EXPLORATORY,5.508474576271187,2.5641025641025643,-2.9443720121686225
Güvercinlik,39,FAMILY_CHILDREN,8,20.512820512820515,False,50.0,ADEQUATE_EXPLORATORY,22.45762711864407,20.512820512820515,-1.9448066058235547
Güvercinlik,39,TRANSPORT_TRANSFER,2,5.128205128205129,False,50.0,ADEQUATE_EXPLORATORY,5.508474576271187,5.128205128205129,-0.3802694480660582
Güvercinlik,39,MANAGEMENT_COMMUNICATION,18,46.15384615384615,False,50.0,ADEQUATE_EXPLORATORY,59.32203389830509,46.15384615384615,-13.168187744458933
Güvercinlik,39,SPA_WELLNESS,2,5.128205128205129,False,50.0,ADEQUATE_EXPLORATORY,5.932203389830509,5.128205128205129,-0.80399826162538
Güvercinlik,39,SAFETY_SECURITY,8,20.512820512820515,False,50.0,ADEQUATE_EXPLORATORY,22.033898305084747,20.512820512820515,-1.521077792264233
Kadıkalesi,56,STAFF_SERVICE,40,71.42857142857143,False,75.0,ADEQUATE_EXPLORATORY,67.37288135593221,71.42857142857143,4.055690072639223
Kadıkalesi,56,CLEANLINESS_HYGIENE,30,53.57142857142857,False,75.0,ADEQUATE_EXPLORATORY,44.91525423728814,53.57142857142857,8.656174334140431
Kadıkalesi,56,FOOD_BEVERAGE,31,55.357142857142854,False,75.0,ADEQUATE_EXPLORATORY,51.69491525423729,55.357142857142854,3.662227602905567
Kadıkalesi,56,ROOM,34,60.714285714285715,False,75.0,ADEQUATE_EXPLORATORY,60.16949152542373,60.714285714285715,0.5447941888619852
Kadıkalesi,56,BEACH_SEA,19,33.92857142857143,False,75.0,ADEQUATE_EXPLORATORY,29.661016949152543,33.92857142857143,4.267554479418887
Kadıkalesi,56,POOL,12,21.428571428571427,False,75.0,ADEQUATE_EXPLORATORY,16.52542372881356,21.428571428571427,4.9031476997578665
Kadıkalesi,56,FACILITIES_MAINTENANCE,23,41.07142857142857,False,75.0,ADEQUATE_EXPLORATORY,38.983050847457626,41.07142857142857,2.088377723970943
Kadıkalesi,56,RESERVATION,19,33.92857142857143,False,75.0,ADEQUATE_EXPLORATORY,39.83050847457627,33.92857142857143,-5.901937046004839
Kadıkalesi,56,PAYMENT_REFUND,31,55.357142857142854,False,75.0,ADEQUATE_EXPLORATORY,52.11864406779661,55.357142857142854,3.238498789346245
Kadıkalesi,56,PRICE_VALUE,27,48.214285714285715,False,75.0,ADEQUATE_EXPLORATORY,47.88135593220339,48.214285714285715,0.33292978208232427
Kadıkalesi,56,CHECKIN_CHECKOUT,2,3.5714285714285716,False,75.0,ADEQUATE_EXPLORATORY,1.694915254237288,3.5714285714285716,1.8765133171912836
Kadıkalesi,56,AIR_CONDITIONING,6,10.714285714285714,False,75.0,ADEQUATE_EXPLORATORY,8.05084745762712,10.714285714285714,2.663438256658594
Kadıkalesi,56,NOISE,6,10.714285714285714,False,75.0,ADEQUATE_EXPLORATORY,5.508474576271187,10.714285714285714,5.205811138014527
Kadıkalesi,56,FAMILY_CHILDREN,15,26.785714285714285,False,75.0,ADEQUATE_EXPLORATORY,22.45762711864407,26.785714285714285,4.3280871670702155
Kadıkalesi,56,TRANSPORT_TRANSFER,5,8.928571428571429,False,75.0,ADEQUATE_EXPLORATORY,5.508474576271187,8.928571428571429,3.420096852300242
Kadıkalesi,56,MANAGEMENT_COMMUNICATION,31,55.357142857142854,False,75.0,ADEQUATE_EXPLORATORY,59.32203389830509,55.357142857142854,-3.9648910411622325
Kadıkalesi,56,SPA_WELLNESS,3,5.357142857142857,False,75.0,ADEQUATE_EXPLORATORY,5.932203389830509,5.357142857142857,-0.5750605326876519
Kadıkalesi,56,SAFETY_SECURITY,14,25.0,False,75.0,ADEQUATE_EXPLORATORY,22.033898305084747,25.0,2.9661016949152526
Ortakent-Yahşi,16,STAFF_SERVICE,10,62.5,False,14.285714285714285,LOW,67.37288135593221,62.5,-4.872881355932208
Ortakent-Yahşi,16,CLEANLINESS_HYGIENE,8,50.0,False,14.285714285714285,LOW,44.91525423728814,50.0,5.0847457627118615
Ortakent-Yahşi,16,FOOD_BEVERAGE,8,50.0,False,14.285714285714285,LOW,51.69491525423729,50.0,-1.6949152542372872
Ortakent-Yahşi,16,ROOM,8,50.0,False,14.285714285714285,LOW,60.16949152542373,50.0,-10.16949152542373
Ortakent-Yahşi,16,BEACH_SEA,3,18.75,False,14.285714285714285,LOW,29.661016949152543,18.75,-10.911016949152543
Ortakent-Yahşi,16,POOL,0,0.0,False,14.285714285714285,LOW,16.52542372881356,0.0,-16.52542372881356
Ortakent-Yahşi,16,FACILITIES_MAINTENANCE,5,31.25,False,14.285714285714285,LOW,38.983050847457626,31.25,-7.733050847457626
Ortakent-Yahşi,16,RESERVATION,9,56.25,False,14.285714285714285,LOW,39.83050847457627,56.25,16.41949152542373
Ortakent-Yahşi,16,PAYMENT_REFUND,10,62.5,False,14.285714285714285,LOW,52.11864406779661,62.5,10.381355932203391
Ortakent-Yahşi,16,PRICE_VALUE,7,43.75,False,14.285714285714285,LOW,47.88135593220339,43.75,-4.131355932203391
Ortakent-Yahşi,16,CHECKIN_CHECKOUT,0,0.0,False,14.285714285714285,LOW,1.694915254237288,0.0,-1.694915254237288
Ortakent-Yahşi,16,AIR_CONDITIONING,0,0.0,False,14.285714285714285,LOW,8.05084745762712,0.0,-8.05084745762712
Ortakent-Yahşi,16,NOISE,1,6.25,False,14.285714285714285,LOW,5.508474576271187,6.25,0.7415254237288131
Ortakent-Yahşi,16,FAMILY_CHILDREN,1,6.25,False,14.285714285714285,LOW,22.45762711864407,6.25,-16.20762711864407
Ortakent-Yahşi,16,TRANSPORT_TRANSFER,0,0.0,False,14.285714285714285,LOW,5.508474576271187,0.0,-5.508474576271187
Ortakent-Yahşi,16,MANAGEMENT_COMMUNICATION,12,75.0,False,14.285714285714285,LOW,59.32203389830509,75.0,15.677966101694913
Ortakent-Yahşi,16,SPA_WELLNESS,1,6.25,False,14.285714285714285,LOW,5.932203389830509,6.25,0.31779661016949134
Ortakent-Yahşi,16,SAFETY_SECURITY,4,25.0,False,14.285714285714285,LOW,22.033898305084747,25.0,2.9661016949152526
Torba,10,STAFF_SERVICE,3,30.0,False,4.761904761904762,LOW,67.37288135593221,30.0,-37.37288135593221
Torba,10,CLEANLINESS_HYGIENE,1,10.0,False,4.761904761904762,LOW,44.91525423728814,10.0,-34.91525423728814
Torba,10,FOOD_BEVERAGE,5,50.0,False,4.761904761904762,LOW,51.69491525423729,50.0,-1.6949152542372872
Torba,10,ROOM,6,60.0,False,4.761904761904762,LOW,60.16949152542373,60.0,-0.16949152542373014
Torba,10,BEACH_SEA,2,20.0,False,4.761904761904762,LOW,29.661016949152543,20.0,-9.661016949152543
Torba,10,POOL,1,10.0,False,4.761904761904762,LOW,16.52542372881356,10.0,-6.525423728813561
Torba,10,FACILITIES_MAINTENANCE,2,20.0,False,4.761904761904762,LOW,38.983050847457626,20.0,-18.983050847457626
Torba,10,RESERVATION,5,50.0,False,4.761904761904762,LOW,39.83050847457627,50.0,10.16949152542373
Torba,10,PAYMENT_REFUND,8,80.0,False,4.761904761904762,LOW,52.11864406779661,80.0,27.88135593220339
Torba,10,PRICE_VALUE,6,60.0,False,4.761904761904762,LOW,47.88135593220339,60.0,12.118644067796609
Torba,10,CHECKIN_CHECKOUT,0,0.0,False,4.761904761904762,LOW,1.694915254237288,0.0,-1.694915254237288
Torba,10,AIR_CONDITIONING,0,0.0,False,4.761904761904762,LOW,8.05084745762712,0.0,-8.05084745762712
Torba,10,NOISE,2,20.0,False,4.761904761904762,LOW,5.508474576271187,20.0,14.491525423728813
Torba,10,FAMILY_CHILDREN,3,30.0,False,4.761904761904762,LOW,22.45762711864407,30.0,7.542372881355931
Torba,10,TRANSPORT_TRANSFER,0,0.0,False,4.761904761904762,LOW,5.508474576271187,0.0,-5.508474576271187
Torba,10,MANAGEMENT_COMMUNICATION,5,50.0,False,4.761904761904762,LOW,59.32203389830509,50.0,-9.322033898305087
Torba,10,SPA_WELLNESS,1,10.0,False,4.761904761904762,LOW,5.932203389830509,10.0,4.067796610169491
Torba,10,SAFETY_SECURITY,1,10.0,False,4.761904761904762,LOW,22.033898305084747,10.0,-12.033898305084747
Turgutreis,13,STAFF_SERVICE,11,84.61538461538461,False,28.57142857142857,ADEQUATE_EXPLORATORY,67.37288135593221,84.61538461538461,17.242503259452405
Turgutreis,13,CLEANLINESS_HYGIENE,8,61.53846153846154,False,28.57142857142857,ADEQUATE_EXPLORATORY,44.91525423728814,61.53846153846154,16.6232073011734
