hotel_id,hotel_name,area,page_status,mapping_status,complaint_n,top_aspects,company_reply_n,company_reply_visibility_pct,google_review_count,complaint_visibility_per_1000_google_reviews,visibility_support_flag,support_level,data_quality_note
BOD042,Mandarin Resort Hotel,Bodrum Merkez,VISIBLE_COMPLAINTS,MATCHED_HIGH_CONFIDENCE,1,AIR_CONDITIONING:100.0%|CLEANLINESS_HYGIENE:100.0%|FACILITIES_MAINTENANCE:100.0%,0.0,0.0,1647,0.6071645415907712,MODERATE_DENOMINATOR,LIMITED_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,1575,,MODERATE_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD044,Noa Suite Hotel,Bodrum Merkez,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,98,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD045,Salmakis Resort & Spa,Bodrum Merkez,VISIBLE_COMPLAINTS,MATCHED_EXACT,7,STAFF_SERVICE:100.0%|FACILITIES_MAINTENANCE:85.7%|ROOM:85.7%,0.0,0.0,2681,2.6109660574412534,STRONGER_DENOMINATOR,MODERATE_COMPLAINT_SAMPLE,missing_text_n=0; raw_count_not_quality; reply_visibility_not_resolution; visibility_not_complaint_rate
BOD046,Senses Hotel,Bodrum Merkez,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,1035,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD047,The Marmara Bodrum,Bodrum Merkez,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,987,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD048,Babana Hotel,Göltürkbükü,REJECTED_CANDIDATE_PAGE,REJECTED_WRONG_ENTITY,0,,,,221,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD049,Casa Del Mar Bodrum,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,263,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,NO_VALIDATED_SIKAYETVAR_PAGE,NOT_FOUND,0,,,,590,,LOW_DENOMINATOR,NO_COMPLAINT_CORPUS,no_validated_complaint_corpus
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,PAGE_FOUND_NO_COMPLAINT,0,,0.0,,373,0.0,LOW_DENOMINATOR,NO_VISIBLE_COMPLAINT_ON_FOUND_PAGE,found_page_no_visible_complaint_does_not_mean_problem_free
