hotel_id,hotel_name,area,total_review_n,text_review_n,low_n,mixed_n,high_n,general_nlp_ready,positive_driver_ready,negative_driver_ready,full_driver_ready
BOD124,Irmak Boutique Hotel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD129,Meggs Bodrum,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD181,Palmalife Bodrum Resort & Spa,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD120,Celeste Bella Luxury Hotel & Spa,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD003,ASPAT HOTEL BODRUM Beach Restaurant,Akyarlar,0,0,0,0,0,False,False,False,False
BOD100,Villa Rustica Hotel,Gündoğan,0,0,0,0,0,False,False,False,False
BOD039,Casa Nonna Bodrum,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD154,Toka Bodrum Hotel & Beach Club,Torba,0,0,0,0,0,False,False,False,False
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,0,0,0,0,0,False,False,False,False
BOD167,Elista Hotel & Spa,Türkbükü,0,0,0,0,0,False,False,False,False
BOD034,Çınar Butik Otel Bodrum,Bitez,0,0,0,0,0,False,False,False,False
BOD048,Babana Hotel,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD105,İsolina Hotel,Güvercinlik,0,0,0,0,0,False,False,False,False
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD022,Dolce Vita Luxury Bungalows,Bitez,0,0,0,0,0,False,False,False,False
BOD053,Gölköy Suites,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD005,ByAkkan,Akyarlar,0,0,0,0,0,False,False,False,False
BOD018,Bitez Deniz Hotel - Restaurant - Beach,Bitez,0,0,0,0,0,False,False,False,False
BOD171,4 reasons Hotel Yalikavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD147,Omar Hotel & Suites,Torba,0,0,0,0,0,False,False,False,False
BOD080,Myndos Oda & kahvalti,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD099,Villa Oliva Butik Otel,Gündoğan,0,0,0,0,0,False,False,False,False
BOD159,Bodrum Ada Otel Turgutreis,Turgutreis,0,0,0,0,0,False,False,False,False
BOD096,Olira Boutique Hotel&SPA,Gündoğan,0,0,0,0,0,False,False,False,False
BOD146,Olivia Hotel,Torba,0,0,0,0,0,False,False,False,False
BOD083,Oza butik hotel,Gümüşlük,0,0,0,0,0,False,False,False,False
BOD054,Lavinya Maison,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD001,Aksoy Taş Ev,Akyarlar,0,0,0,0,0,False,False,False,False
BOD165,Caja by Maxx Royal,Türkbükü,0,0,0,0,0,False,False,False,False
BOD027,Meis Apart Hotel,Bitez,0,0,0,0,0,False,False,False,False
BOD134,Yakamoz Otel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,0,0,0,0,0,False,False,False,False
BOD121,Eskiyalı Otel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD176,Blue Point Yalikavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD093,Malta Bodrum Hotel,Gündoğan,0,0,0,0,0,False,False,False,False
BOD122,Florida Otel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD190,The Sign Highlight Hotel,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD144,Mira Suites,Torba,0,0,0,0,0,False,False,False,False
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD123,Hotel Marma Beach,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD044,Noa Suite Hotel,Bodrum Merkez,0,0,0,0,0,False,False,False,False
BOD118,Amfora Hotel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,0,0,0,0,0,False,False,False,False
BOD097,OLİVE TREE HOTEL,Gündoğan,0,0,0,0,0,False,False,False,False
BOD137,Armagan Apart Hotel,Torba,0,0,0,0,0,False,False,False,False
BOD117,Altınkaya Hotel,Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD029,Mumu Bodrum Hotel,Bitez,0,0,0,0,0,False,False,False,False
BOD172,Ailla Yalıkavak,Yalıkavak,0,0,0,0,0,False,False,False,False
BOD091,Gündoğan Suites,Gündoğan,0,0,0,0,0,False,False,False,False
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,0,0,0,0,0,False,False,False,False
BOD149,Roota Bodrum,Torba,0,0,0,0,0,False,False,False,False
