term,n,token_count,document_count,document_share_pct
ayrılmak kaldım,2,3,3,1.3100436681222707
açık büfede,2,3,3,1.3100436681222707
açısından büyük,2,3,3,1.3100436681222707
açısından kabul,2,3,3,1.3100436681222707
açısından rahatsız,2,3,3,1.3100436681222707
ağustos giriş,2,3,3,1.3100436681222707
beklentimin altında,2,3,3,1.3100436681222707
beklentimizin altındaydı,2,3,3,1.3100436681222707
beklentinin altındaydı,2,3,3,1.3100436681222707
belirtmek istiyorum,2,3,3,1.3100436681222707
belli değil,2,3,3,1.3100436681222707
benzer durumun,2,3,3,1.3100436681222707
bilgi verilmedi,2,3,3,1.3100436681222707
bunlara ek,2,3,3,1.3100436681222707
by otelinde,2,3,3,1.3100436681222707
büyük mağduriyet,2,3,3,1.3100436681222707
büyük sorun,2,3,3,1.3100436681222707
civarında giriş,2,3,3,1.3100436681222707
cuma günü,2,3,3,1.3100436681222707
cumartesi günü,2,3,3,1.3100436681222707
dahil konseptinde,2,3,3,1.3100436681222707
dahil konseptine,2,3,3,1.3100436681222707
dahil olmak,2,3,3,1.3100436681222707
deneyimin dikkate,2,3,3,1.3100436681222707
derece kaba,2,3,3,1.3100436681222707
derece kötü,2,3,3,1.3100436681222707
derece kötüydü,2,3,3,1.3100436681222707
değil adeta,2,3,3,1.3100436681222707
dinlenmek yerine,2,3,3,1.3100436681222707
dolmasına iade,2,3,3,1.3100436681222707
durumu kez,2,3,3,1.3100436681222707
düzenlemelerin yapılmasını,2,3,3,1.3100436681222707
düşünüyorum nedenle,2,3,3,1.3100436681222707
edilebilir değil,2,3,3,1.3100436681222707
edileceği açıkça,2,3,3,1.3100436681222707
edilmesini istiyorum,2,3,3,1.3100436681222707
ele alınmasını,2,3,3,1.3100436681222707
et döner,2,3,3,1.3100436681222707
ettiğimiz tesiste,2,3,3,1.3100436681222707
eylül la,2,3,3,1.3100436681222707
genel hizmet,2,3,3,1.3100436681222707
genelinde temizlik,2,3,3,1.3100436681222707
gerekli düzenlemelerin,2,3,3,1.3100436681222707
gerçekten kötü,2,3,3,1.3100436681222707
geçişimin sağlanmasını,2,3,3,1.3100436681222707
giderilmesini istiyorum,2,3,3,1.3100436681222707
girer girmez,2,3,3,1.3100436681222707
giriş yaptım,2,3,3,1.3100436681222707
girişimizden itibaren,2,3,3,1.3100436681222707
görüşme sırasında,2,3,3,1.3100436681222707
göz ardı,2,3,3,1.3100436681222707
göz önünde,2,3,3,1.3100436681222707
günlük ücret,2,3,3,1.3100436681222707
günü içerisinde,2,3,3,1.3100436681222707
güvenlik açısından,2,3,3,1.3100436681222707
hafta içinde,2,3,3,1.3100436681222707
hakkında gerekli,2,3,3,1.3100436681222707
havuz küçük,2,3,3,1.3100436681222707
hijyen konfor,2,3,3,1.3100436681222707
hijyen sorunu,2,3,3,1.3100436681222707
hizmet kalitesini,2,3,3,1.3100436681222707
hizmet sektöründe,2,3,3,1.3100436681222707
hiçbir aksiyon,2,3,3,1.3100436681222707
hiçbir destek,2,3,3,1.3100436681222707
hiçbir dönüş,2,3,3,1.3100436681222707
hiçbir geri,2,3,3,1.3100436681222707
hiçbir yerde,2,3,3,1.3100436681222707
iade yapılmadı,2,3,3,1.3100436681222707
iadesi yapılmadı,2,3,3,1.3100436681222707
iki oda,2,3,3,1.3100436681222707
iletişime geçerek,2,3,3,1.3100436681222707
iletişime geçtim,2,3,3,1.3100436681222707
ilettik çözüm,2,3,3,1.3100436681222707
ilişkilerinden hanım,2,3,3,1.3100436681222707
iptal ettirdim,2,3,3,1.3100436681222707
iptal iade,2,3,3,1.3100436681222707
iptal sırasında,2,3,3,1.3100436681222707
içecek almak,2,3,3,1.3100436681222707
kalitesi beklentimizin,2,3,3,1.3100436681222707
kalitesi müşteri,2,3,3,1.3100436681222707
kalkmak kaldık,2,3,3,1.3100436681222707
kalıcı çözüm,2,3,3,1.3100436681222707
karşılığını alamadığımı,2,3,3,1.3100436681222707
kayıt altına,2,3,3,1.3100436681222707
kişi başı,2,3,3,1.3100436681222707
konaklamak üzere,2,3,3,1.3100436681222707
konaklamam sırasında,2,3,3,1.3100436681222707
konu hakkında,2,3,3,1.3100436681222707
konusunda sorunlar,2,3,3,1.3100436681222707
konusunda sıkıntılar,2,3,3,1.3100436681222707
kullanmak istediğimizde,2,3,3,1.3100436681222707
kötü kokuyordu,2,3,3,1.3100436681222707
küf kokusu,2,3,3,1.3100436681222707
kültür turizm,2,3,3,1.3100436681222707
kırıklığı oldu,2,3,3,1.3100436681222707
kırıklığına uğradık,2,3,3,1.3100436681222707
la by,2,3,3,1.3100436681222707
lik ödemenin,2,3,3,1.3100436681222707
masaya servis,2,3,3,1.3100436681222707
mağduriyetin dikkate,2,3,3,1.3100436681222707
mağduriyetin giderilmesini,2,3,3,1.3100436681222707
misafir değil,2,3,3,1.3100436681222707
mümkün değil,2,3,3,1.3100436681222707
müşteri hizmetleriyle,2,3,3,1.3100436681222707
net bilgi,2,3,3,1.3100436681222707
oda değişimi,2,3,3,1.3100436681222707
oda rezervasyon,2,3,3,1.3100436681222707
oda yok,2,3,3,1.3100436681222707
odada konaklamaya,2,3,3,1.3100436681222707
odada otelden,2,3,3,1.3100436681222707
odalar derece,2,3,3,1.3100436681222707
olayın ardından,2,3,3,1.3100436681222707
onun dışında,2,3,3,1.3100436681222707
ortak kullanım,2,3,3,1.3100436681222707
otelden beklenen,2,3,3,1.3100436681222707
otelden genel,2,3,3,1.3100436681222707
pişman oldum,2,3,3,1.3100436681222707
resepsiyona giderek,2,3,3,1.3100436681222707
rezervasyon işlemi,2,3,3,1.3100436681222707
rezervasyon no,2,3,3,1.3100436681222707
rezervasyonumu iptal,2,3,3,1.3100436681222707
rica ederim,2,3,3,1.3100436681222707
rica ettim,2,3,3,1.3100436681222707
rutubet kokuyordu,2,3,3,1.3100436681222707
saat otelden,2,3,3,1.3100436681222707
saat önce,2,3,3,1.3100436681222707
sağlık açısından,2,3,3,1.3100436681222707
servis edilen,2,3,3,1.3100436681222707
seviyesi kabul,2,3,3,1.3100436681222707
sonraki günlerde,2,3,3,1.3100436681222707
sorun yok,2,3,3,1.3100436681222707
sorunları yaşamaması,2,3,3,1.3100436681222707
sorunu vardı,2,3,3,1.3100436681222707
sıkıntılar vardı,2,3,3,1.3100436681222707
tam fiyasko,2,3,3,1.3100436681222707
tamamen hayal,2,3,3,1.3100436681222707
tekrar yaşanmaması,2,3,3,1.3100436681222707
telefonlarıma cevap,2,3,3,1.3100436681222707
temiz değil,2,3,3,1.3100436681222707
temizlik yapılmadı,2,3,3,1.3100436681222707
temmuz temmuz,2,3,3,1.3100436681222707
temmuz çıkış,2,3,3,1.3100436681222707
tercih etmeyeceğimiz,2,3,3,1.3100436681222707
tercih ettiğimiz,2,3,3,1.3100436681222707
toz kir,2,3,3,1.3100436681222707
tur rezervasyon,2,3,3,1.3100436681222707
turgutreis te,2,3,3,1.3100436681222707
tutarın tarafıma,2,3,3,1.3100436681222707
tutarındaki ücretin,2,3,3,1.3100436681222707
uzun beklemek,2,3,3,1.3100436681222707
verilen sözlerin,2,3,3,1.3100436681222707
yaklaşık tutarında,2,3,3,1.3100436681222707
yaklaşık ödedik,2,3,3,1.3100436681222707
yapacak yok,2,3,3,1.3100436681222707
yaptığımız andan,2,3,3,1.3100436681222707
yazılı bilgilendirme,2,3,3,1.3100436681222707
yazılı net,2,3,3,1.3100436681222707
yaşadığım mağduriyet,2,3,3,1.3100436681222707
yemek çeşitliliği,2,3,3,1.3100436681222707
yemekler kötü,2,3,3,1.3100436681222707
yemekler lezzetsiz,2,3,3,1.3100436681222707
yemeklerin lezzeti,2,3,3,1.3100436681222707
yerine getirilmemesi,2,3,3,1.3100436681222707
yok şeklinde,2,3,3,1.3100436681222707
yoğun saatlerde,2,3,3,1.3100436681222707
yönetiminden resmi,2,3,3,1.3100436681222707
yönetimiyle iletişime,2,3,3,1.3100436681222707
zor durumda,2,3,3,1.3100436681222707
çözüm bekliyorum,2,3,3,1.3100436681222707
çözüm üretilmedi,2,3,3,1.3100436681222707
çıkış yaparken,2,3,3,1.3100436681222707
çıkış yapmamız,2,3,3,1.3100436681222707
ödememi kredi,2,3,3,1.3100436681222707
ödemenin iadesini,2,3,3,1.3100436681222707
önemli kısmı,2,3,3,1.3100436681222707
önünde bulundurularak,2,3,3,1.3100436681222707
özür dilenmesini,2,3,3,1.3100436681222707
ücret karşılığında,2,3,3,1.3100436681222707
ücretin tarafıma,2,3,3,1.3100436681222707
büyük hayal kırıklığı,3,11,11,4.8034934497816595
tarafıma iade edilmesini,3,11,11,4.8034934497816595
hayal kırıklığına uğrattı,3,10,10,4.366812227074236
iş günü içinde,3,8,7,3.056768558951965
gerekli önlemlerin alınmasını,3,7,7,3.056768558951965
başka misafirlerin başına,3,5,5,2.183406113537118
başına gelmemesi gerekli,3,5,5,2.183406113537118
gerekli adımların atılmasını,3,5,5,2.183406113537118
gerekli incelemenin yapılarak,3,5,5,2.183406113537118
geri dönüş yapılmadı,3,5,5,2.183406113537118
misafirlerin başına gelmemesi,3,5,5,2.183406113537118
ultra dahil konseptiyle,3,5,5,2.183406113537118
deniz manzaralı oda,3,6,4,1.7467248908296944
acilen gözden geçirilmesini,3,4,4,1.7467248908296944
gerekli iyileştirmelerin yapılmasını,3,4,4,1.7467248908296944
giriş yaptığımız günden,3,4,4,1.7467248908296944
günü saat civarında,3,4,4,1.7467248908296944
net açıklama yapılmasını,3,4,4,1.7467248908296944
süreçle tarafıma yazılı,3,4,4,1.7467248908296944
yaşanmaması gerekli önlemlerin,3,4,4,1.7467248908296944
