official_facility_id,official_name,official_type,official_star_rating,room_count,bed_count,official_address_area,mapped_project_area
OFFBOD129,KAVALA STUDIO,1 YILDIZLI OTEL,1.0,22.0,45.0,KUMBAHÇE MAH.,Bodrum Merkez
OFFBOD130,OPAL OTELİ,1 YILDIZLI OTEL,1.0,23.0,46.0,TURGUTREİS MAH.,Turgutreis
OFFBOD131,SAR OTEL,1 YILDIZLI OTEL,1.0,34.0,70.0,TURGUTREİS MAH.,Turgutreis
OFFBOD132,CÜNEYDİ PANSİYON,PANSİYON,,15.0,30.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD133,DİNÇ PANSİYON,PANSİYON,,17.0,34.0,KUMBAHÇE MAH.,Bodrum Merkez
OFFBOD134,FLAGSUITES BODRUM PANSİYON,PANSİYON,,6.0,12.0,YENİKÖY MAH.,Bodrum Merkez
OFFBOD135,AĞAR APART,MÜSTAKİL APART,,26.0,90.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD136,AK-TUR,MÜSTAKİL APART,,15.0,48.0,BİTEZ MAHALLESİ,Bitez
OFFBOD137,AK-TUR APART-1 TESİSLERİ,MÜSTAKİL APART,,22.0,84.0,BİTEZ MAHALLESİ,Bitez
OFFBOD138,AK-TUR APART 3 TESİSLERİ,MÜSTAKİL APART,,152.0,616.0,BİTEZ MAHALLESİ,Bitez
OFFBOD139,BODROOM QUEEN APART,MÜSTAKİL APART,,46.0,92.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD140,CLUB BOZOK APART OTEL,MÜSTAKİL APART,,45.0,90.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD141,CLUB DEDEMAN,MÜSTAKİL APART,,147.0,294.0,BİTEZ MAHALLESİ,Bitez
OFFBOD142,GREEN HOUSE APART OTEL,MÜSTAKİL APART,,36.0,72.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD143,İLKNUR APART OTEL,MÜSTAKİL APART,,30.0,60.0,TURGUTREİS MAH.,Turgutreis
OFFBOD144,SERAY CLASS APART,MÜSTAKİL APART,,30.0,92.0,GÜMBET MAHALLESİ,Gümbet
OFFBOD146,LA LOCAL HOTEL & SPA,MÜSTAKİL APART,,22.0,44.0,TURGUTREİS MAH.,Turgutreis
OFFBOD147,ARTS HOTEL BODRUM,BUTİK OTEL,,38.0,76.0,YALIKAVAK,Yalıkavak
OFFBOD150,DİLEK AĞACI BUTİK OTEL,BUTİK OTEL,,21.0,42.0,ORTAKENT MAH.,Ortakent-Yahşi
OFFBOD151,PALM HILLS BODRUM,BUTİK OTEL,,56.0,112.0,GÜNDOĞAN MAH.,Gündoğan
OFFBOD152,ELEMENTA BY CACTUS HOTELS,BUTİK OTEL,,52.0,111.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD153,HİLLSTONE BODRUM HOTEL SPA,BUTİK OTEL,,96.0,200.0,YOKUŞBAŞI MAH.,Bodrum Merkez
OFFBOD154,HİGHLİGHT HOTEL,BUTİK OTEL,,31.0,80.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD155,IL RICCO BEACH HOTELS,BUTİK OTEL,,10.0,20.0,GÖLTÜRKBÜKÜ MAH.,Türkbükü
OFFBOD156,KAYA PALAZZO RESORT & LE CHIC BODRUM,BUTİK OTEL,,60.0,202.0,ESKİÇEŞME MAHALLESİ,Bodrum Merkez
OFFBOD158,LUGGA BUTİK OTEL,BUTİK OTEL,,52.0,104.0,ORTAKENT MAH.,Ortakent-Yahşi
OFFBOD159,MARİSOL HOTEL,BUTİK OTEL,,20.0,40.0,GÜNDOĞAN MAH.,Gündoğan
OFFBOD160,MOON HOTEL & BEACH & LOUNGE,BUTİK OTEL,,40.0,94.0,YALIKAVAK MAH.,Yalıkavak
OFFBOD164,THE BARBAROS RESERVE BODRUM MENAGED BY,BUTİK OTEL,,42.0,168.0,KIZILAĞAÇ MAH.,
OFFBOD165,MARİNE CLUB CATAMARAN,YÜZER TESİS,,,,,
OFFBOD166,ALLIUM VILLAS,ÖZEL TESİS KNL,,36.0,72.0,GERİŞ MAH.,Yalıkavak
OFFBOD168,KOCADON HOTEL,ÖZEL TESİS,,11.0,22.0,ESKİ ÇEŞME MAH.,Bodrum Merkez
