hotel_id,canonical_aspect,google_mention_rate_pct,google_support_n,google_low_context_share,google_high_context_share,sikayetvar_mention_rate_pct,sikayetvar_hotel_n,sikayetvar_small_n_flag,alignment_label
BOD064,FOOD_BEVERAGE,51.7,29,20.0,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD066,FOOD_BEVERAGE,80.0,10,12.5,83.3,44.44444444444444,18,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD067,FOOD_BEVERAGE,66.1,59,33.3,71.8,33.333333333333336,6,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD068,FOOD_BEVERAGE,100.0,9,25.0,77.8,55.55555555555556,9,False,GOOGLE_STRENGTH_VS_COMPLAINT
BOD077,FOOD_BEVERAGE,40.0,20,100.0,12.5,0.0,7,False,GOOGLE_GENERAL_ONLY
BOD088,FOOD_BEVERAGE,60.0,20,33.3,62.5,,0,,GOOGLE_GENERAL_ONLY
BOD095,FOOD_BEVERAGE,70.0,10,0.0,85.7,,0,,GOOGLE_GENERAL_ONLY
BOD104,FOOD_BEVERAGE,63.0,27,69.2,35.3,50.0,4,True,LOW_SUPPORT
BOD105,FOOD_BEVERAGE,50.0,40,10.0,85.7,,0,,GOOGLE_GENERAL_ONLY
BOD106,FOOD_BEVERAGE,72.7,11,0.0,62.5,47.36842105263158,19,False,NO_SIGNAL
BOD107,FOOD_BEVERAGE,40.0,10,100.0,75.0,25.0,4,True,LOW_SUPPORT
BOD108,FOOD_BEVERAGE,77.8,9,50.0,57.1,33.333333333333336,15,False,BOTH_SOURCE_CONCERN
BOD109,FOOD_BEVERAGE,69.8,43,20.0,73.3,,0,,GOOGLE_GENERAL_ONLY
BOD113,FOOD_BEVERAGE,54.5,11,40.0,66.7,57.142857142857146,7,False,NO_SIGNAL
BOD120,FOOD_BEVERAGE,70.0,10,33.3,71.4,50.0,2,True,LOW_SUPPORT
BOD126,FOOD_BEVERAGE,77.8,9,14.3,100.0,,0,,GOOGLE_GENERAL_ONLY
BOD130,FOOD_BEVERAGE,90.0,10,50.0,55.6,46.15384615384615,13,False,BOTH_SOURCE_CONCERN
BOD131,FOOD_BEVERAGE,85.0,20,5.9,100.0,,0,,GOOGLE_GENERAL_ONLY
