hotel_id,master_hotel_name,area,detected_sikayetvar_hotel_name,mapping_status,confidence,source_url,page_accessible,visible_complaint_count,complaint_count,unique_complaint_count,matched_complaint_count,review_required_complaint_count,detail_nonempty_count,company_response_count,match_method,match_reason,manual_review_required,checked_at
BOD043,METT Hotel & Beach Resort Bodrum,Bodrum Merkez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:31:49.245058+00:00
BOD044,Noa Suite Hotel,Bodrum Merkez,Miracle Resort Hotel,REVIEW_REQUIRED,0.32,https://www.sikayetvar.com/miracle-resort-hotel,True,7.0,0,0,0,0,0,0,search_fallback,score=0.32 name_sim=0.4571 bodrum=False area=False method=search_fallback,True,2026-08-25T12:32:00.288788+00:00
BOD045,Salmakis Resort & Spa,Bodrum Merkez,Salmakis Resort & Spa,FOUND_EXACT,0.7,https://www.sikayetvar.com/salmakis-resort-spa,True,7.0,7,7,7,0,7,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:32:09.593351+00:00
BOD046,Senses Hotel,Bodrum Merkez,The Sense De Luxe Hotel,REVIEW_REQUIRED,0.44,https://www.sikayetvar.com/the-sense-de-luxe-hotel,True,5.0,0,0,0,0,0,0,search_fallback,score=0.44 name_sim=0.6286 bodrum=False area=False method=search_fallback,True,2026-08-25T12:32:25.064343+00:00
BOD047,The Marmara Bodrum,Bodrum Merkez,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:32:33.636480+00:00
BOD048,Babana Hotel,Göltürkbükü,Acapulco Resort Hotel,REVIEW_REQUIRED,0.3394,https://www.sikayetvar.com/acapulco-resort-hotel,True,24.0,0,0,0,0,0,0,search_fallback,score=0.3394 name_sim=0.4848 bodrum=False area=False method=search_fallback,True,2026-08-25T12:32:51.373575+00:00
BOD049,Casa Del Mar Bodrum,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:00.343988+00:00
BOD050,Daphnis Hotel Gölköy,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:11.556029+00:00
BOD051,Faros Bodrum Hotel Göltürkbükü,Göltürkbükü,Faros Bodrum Hotel Göltürkbükü,PAGE_FOUND_NO_COMPLAINT,1.0,https://www.sikayetvar.com/faros-bodrum-hotel-golturkbuku,True,0.0,0,0,0,0,0,0,slug_guess,score=1.0 name_sim=1.0 bodrum=True area=True method=slug_guess,True,2026-08-25T12:33:15.244970+00:00
BOD052,Flamm Bodrum,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:22.447982+00:00
BOD053,Gölköy Suites,Göltürkbükü,Gölköy,NOT_FOUND,0.4421,https://www.sikayetvar.com/golkoy,True,0.0,0,0,0,0,0,0,slug_guess,score=0.4421 name_sim=0.6316 bodrum=False area=False method=slug_guess,True,2026-08-25T12:33:30.127573+00:00
BOD054,Lavinya Maison,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:39.425709+00:00
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:48.720825+00:00
BOD056,"Mandarin Oriental, Bodrum",Göltürkbükü,Mandarin Oriental Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/mandarin-oriental-bodrum,True,2.0,2,2,2,0,2,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:33:52.326596+00:00
BOD057,Selvi Bodrum,Göltürkbükü,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:33:59.582588+00:00
BOD058,Bodrum Beach Resort,Gümbet,Bodrum Beach Resort,FOUND_EXACT,0.85,https://www.sikayetvar.com/bodrum-beach-resort,True,3.0,3,3,3,0,2,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:34:06.989543+00:00
BOD059,Bodrum Hotel Baba,Gümbet,Baia Hotels Bodrum,REVIEW_REQUIRED,0.4833,https://www.sikayetvar.com/baia-hotels-bodrum,True,4.0,0,0,0,0,0,0,search_fallback,score=0.4833 name_sim=0.4762 bodrum=True area=False method=search_fallback,True,2026-08-25T12:34:23.703683+00:00
BOD060,Club Shark Hotel,Gümbet,Club Shark Hotel,FOUND_EXACT,0.7,https://www.sikayetvar.com/club-shark-hotel,True,1.0,1,1,1,0,1,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:34:31.934807+00:00
BOD061,Gümbet Anıl Beach,Gümbet,Gümbet Anıl Beach,FOUND_EXACT,0.85,https://www.sikayetvar.com/gumbet-anil-beach,True,2.0,2,2,2,0,2,0,slug_guess,score=0.85 name_sim=1.0 bodrum=False area=True method=slug_guess,False,2026-08-25T12:34:37.522349+00:00
BOD062,"Gümbet Cove Hotel, Muğla Türkiye",Gümbet,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:34:46.449598+00:00
BOD063,Jasmin Beach Hotel,Gümbet,Jasmin Beach Hotels,REVIEW_REQUIRED,0.6811,https://www.sikayetvar.com/jasmin-beach-hotels,True,1.0,0,0,0,0,0,0,search_fallback,score=0.6811 name_sim=0.973 bodrum=False area=False method=search_fallback,True,2026-08-25T12:34:57.499263+00:00
BOD064,Jasmin Elite Residence & Spa,Gümbet,Jasmin Elite Residence,REVIEW_REQUIRED,0.6417,https://www.sikayetvar.com/jasmin-elite-residence,True,0.0,0,0,0,0,0,0,search_fallback,score=0.6417 name_sim=0.9167 bodrum=False area=False method=search_fallback,True,2026-08-25T12:35:10.510353+00:00
BOD065,Mirada Exclusive Bodrum,Gümbet,Mirada Hotels & Resorts,NOT_FOUND,0.4162,https://www.sikayetvar.com/mirada-hotels-resorts,True,13.0,0,0,0,0,0,0,search_fallback,score=0.4162 name_sim=0.5946 bodrum=False area=False method=search_fallback,True,2026-08-25T12:35:18.036552+00:00
BOD066,Royal Asarlik Beach Hotel & Spa,Gümbet,Royal Asarlık Beach,REVIEW_REQUIRED,0.5542,https://www.sikayetvar.com/royal-asarlik-beach,True,16.0,0,0,0,0,0,0,search_fallback,score=0.5542 name_sim=0.7917 bodrum=False area=False method=search_fallback,True,2026-08-25T12:35:33.591462+00:00
BOD067,Sami Beach Hotel,Gümbet,Sami Beach Hotel,FOUND_EXACT,0.7,https://www.sikayetvar.com/sami-beach-hotel,True,6.0,6,6,6,0,6,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:35:42.842142+00:00
BOD068,Selectum Colours Bodrum,Gümbet,Selectum Hotels Selectum Bodrum,REVIEW_REQUIRED,0.535,https://www.sikayetvar.com/selectum-hotels/selectum-bodrum,True,14.0,14,14,8,6,14,0,manual_alias,score=0.535 name_sim=0.55 bodrum=True area=False method=manual_alias,True,2026-08-25T12:35:46.418201+00:00
BOD069,Siesta Beach Apart,Gümbet,Siesta Beach Apart,FOUND_EXACT,0.7,https://www.sikayetvar.com/siesta-beach-apart,True,1.0,1,1,1,0,1,0,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,False,2026-08-25T12:35:54.057534+00:00
BOD070,The Luvi Hotel,Gümbet,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:36:04.799875+00:00
BOD071,Tropicana Beach Hotel,Gümbet,Tropicana,NOT_FOUND,0.42,https://www.sikayetvar.com/tropicana,True,3.0,0,0,0,0,0,0,slug_guess,score=0.42 name_sim=0.6 bodrum=False area=False method=slug_guess,True,2026-08-25T12:36:12.229040+00:00
BOD072,VERY CHIC BODRUM,Gümbet,Very Chic Bodrum,FOUND_EXACT,0.85,https://www.sikayetvar.com/very-chic-bodrum,True,3.0,3,3,3,0,3,0,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,False,2026-08-25T12:36:15.790088+00:00
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:36:26.527078+00:00
BOD074,Begonvil Gümüşlük,Gümüşlük,,NOT_FOUND,0.0,,False,,0,0,0,0,0,0,no_candidate,No slug guess or alias resolved to a real page,False,2026-08-25T12:36:33.571356+00:00
