hotel_id,hotel_name,area,mapping_status,page_accessible,visible_complaint_count,matched_complaint_count,first_complaint_date,last_complaint_date,avg_complaint_word_count,median_complaint_word_count,company_response_count,complaints_with_replies,total_reply_count,view_count_non_null,median_view_count,review_required_complaint_count,company_response_rate_in_corpus,view_count_coverage_pct
BOD073,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD074,Begonvil Gümüşlük,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD075,Benjamin Otel,Gümüşlük,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD076,Gümüşlük No3,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD077,Ladonia Hotels Zemda,Gümüşlük,FOUND_EXACT,True,7,7,2026-07-06 14:50:00,2026-08-18 20:55:00,156.42857142857142,137.0,0,2,2,7,31.0,0,0.0,100.0
BOD078,Liman Hotel Gümüslük (Adult only),Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD079,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD080,Myndos Oda & kahvalti,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD081,Oda Bodrum Gümüşlük,Gümüşlük,REVIEW_REQUIRED,True,8,0,,,,,0,0,0,0,,0,,
BOD082,Otel Gümüşlük,Gümüşlük,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD083,Oza butik hotel,Gümüşlük,REVIEW_REQUIRED,True,2,0,,,,,0,0,0,0,,0,,
BOD084,Paradise Garden Apartments,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD085,Paradise Gümüşlük,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD086,Vega Aparts,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD087,Wanderheaven Camping & Tiny House Bodrum,Gümüşlük,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD088,Baia Bodrum Hotel,Gündoğan,AMBIGUOUS,True,0,0,,,,,0,0,0,0,,0,,
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD091,Gündoğan Suites,Gündoğan,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD092,Liona Hotel,Gündoğan,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD093,Malta Bodrum Hotel,Gündoğan,REVIEW_REQUIRED,True,22,0,,,,,0,0,0,0,,0,,
BOD094,Marje Villas,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD095,Mivara Luxury Bodrum,Gündoğan,REVIEW_REQUIRED,True,0,0,,,,,0,0,0,0,,0,,
BOD096,Olira Boutique Hotel&SPA,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD097,OLİVE TREE HOTEL,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD098,Swissôtel Living Bodrum,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD099,Villa Oliva Butik Otel,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD100,Villa Rustica Hotel,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD102,Akyalı Butik Hotel,Güvercinlik,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD103,Green Bay Resort & Spa Bodrum,Güvercinlik,FOUND_EXACT,True,11,11,2024-09-09 00:57:00,2026-08-07 18:50:00,213.2,198.5,0,2,2,11,547.0,0,0.0,100.0
BOD104,Greenport Bodrum,Güvercinlik,REVIEW_REQUIRED,True,4,0,,,,,0,0,0,0,,0,,
BOD105,İsolina Hotel,Güvercinlik,PAGE_FOUND_NO_COMPLAINT,True,0,0,,,,,0,0,0,0,,0,,
BOD106,La Blanche Island Bodrum,Güvercinlik,FOUND_EXACT,True,16,19,2024-06-17 08:33:00,2026-08-05 09:16:00,161.83333333333334,150.0,5,6,9,19,922.0,0,26.31578947368421,100.0
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,FOUND_EXACT,True,4,4,2024-06-19 08:51:00,2026-07-17 15:22:00,60.75,59.5,0,0,0,4,322.0,0,0.0,100.0
BOD108,Lujo Hotel Bodrum,Güvercinlik,REVIEW_REQUIRED,True,15,0,,,,,0,0,0,0,,0,,
BOD109,Oscar Seaside Hotel & Spa,Güvercinlik,FOUND_EXACT,True,5,0,,,,,0,0,0,0,,5,,
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,FOUND_EXACT,True,5,5,2026-04-28 10:10:00,2026-07-05 22:26:00,129.4,125.0,0,1,1,4,14.0,0,0.0,80.0
BOD111,Zena Hotel Bodrum,Güvercinlik,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD112,Azure By Yelken Hotel,Kadıkalesi,FOUND_EXACT,True,22,26,2024-06-06 19:39:00,2026-08-24 14:01:00,181.42307692307693,184.5,1,1,3,25,2076.0,0,3.8461538461538463,96.15384615384616
BOD113,Kadıkale Resort,Kadıkalesi,FOUND_EXACT,True,7,7,2024-07-10 11:15:00,2026-06-02 22:45:00,165.28571428571428,175.0,2,4,5,6,409.5,0,28.571428571428573,85.71428571428571
BOD114,Sianji Well-Being Resort Thermal & Spa,Kadıkalesi,NOT_FOUND,False,,0,,,,,0,0,0,0,,0,,
BOD115,Yasmin Bodrum Resort,Kadıkalesi,FOUND_EXACT,True,18,23,2024-06-05 18:09:00,2026-08-23 11:09:00,127.19047619047619,107.0,0,0,0,23,1437.0,0,0.0,100.0
