hotel_id,hotel_name,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag,nlp_sample_tier
BOD038,Casa Mare Bodrum,1,AIR_CONDITIONING,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,NOISE,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,FAMILY_CHILDREN,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,TRANSPORT_TRANSFER,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,MANAGEMENT_COMMUNICATION,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,SPA_WELLNESS,0,0.0,True,LOW_SAMPLE
BOD038,Casa Mare Bodrum,1,SAFETY_SECURITY,0,0.0,True,LOW_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,STAFF_SERVICE,4,80.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,CLEANLINESS_HYGIENE,1,20.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,FOOD_BEVERAGE,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,ROOM,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,BEACH_SEA,1,20.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,POOL,0,0.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,FACILITIES_MAINTENANCE,1,20.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,RESERVATION,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,PAYMENT_REFUND,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,PRICE_VALUE,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,CHECKIN_CHECKOUT,0,0.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,AIR_CONDITIONING,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,NOISE,0,0.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,FAMILY_CHILDREN,0,0.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,TRANSPORT_TRANSFER,1,20.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,MANAGEMENT_COMMUNICATION,2,40.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,SPA_WELLNESS,0,0.0,False,MEDIUM_SAMPLE
BOD041,La Quinta by Wyndham Bodrum,5,SAFETY_SECURITY,0,0.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,STAFF_SERVICE,7,100.0,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,CLEANLINESS_HYGIENE,5,71.42857142857143,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,FOOD_BEVERAGE,5,71.42857142857143,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,ROOM,6,85.71428571428571,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,BEACH_SEA,3,42.857142857142854,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,POOL,1,14.285714285714286,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,FACILITIES_MAINTENANCE,6,85.71428571428571,False,MEDIUM_SAMPLE
BOD045,Salmakis Resort & Spa,7,RESERVATION,1,14.285714285714286,False,MEDIUM_SAMPLE
