file_path,file_type,category,size_bytes,modified_at_local,row_count,column_count,columns,purpose
reports/sikayetvar_company_response_time_summary.csv,csv,REPLY,2045,2026-08-26T07:02:08.199464083,32.0,9.0,hotel_id|hotel_name|area|complaint_n|response_n|response_date_available_n|median_response_time_days|q25_response_time_days|q75_response_time_days,Company/user reply coverage or response-behavior output
reports/sikayetvar_complaint_entity_status_audit.csv,csv,QUALITY,136,2026-08-26T07:02:08.199464083,2.0,3.0,entity_match_status|complaint_count|share_pct,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_complaint_key_audit.csv,csv,QUALITY,253,2026-08-26T07:02:08.199464083,3.0,8.0,key_name|row_count|non_null_count|missing_count|unique_count|duplicate_excess_count|is_unique|preferred_dedupe_key,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_complaint_missing_values.csv,csv,QUALITY,996,2026-08-26T07:02:08.199464083,30.0,4.0,column_name|missing_count|missing_pct|non_null_count,Other Sikayetvar-related repository asset
reports/sikayetvar_complaint_schema_audit.csv,csv,QUALITY,3005,2026-08-26T07:02:08.199464083,30.0,8.0,column_name|dtype|non_null_count|missing_count|missing_pct|unique_count|expected_role|notes,"Data quality, schema, deduplication, or cleaning evidence"
reports/sikayetvar_complaints_excluded_wrong_property.csv,csv,OTHER,165,2026-08-26T07:02:08.199464083,0.0,11.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|area|complaint_title|complaint_text|entity_match_status|entity_match_score|entity_match_reason|source_page,Other Sikayetvar-related repository asset
reports/sikayetvar_complaints_manual_review.csv,csv,MAPPING,24068,2026-08-26T07:02:08.199464083,12.0,11.0,complaint_id|canonical_complaint_url|hotel_id|hotel_name|area|complaint_title|complaint_text|entity_match_status|entity_match_score|entity_match_reason|source_page,"Hotel entity mapping, mapping summary, or manual-review evidence"
reports/sikayetvar_coverage_by_area.csv,csv,MAPPING,591,2026-08-26T07:02:08.199464083,14.0,8.0,area|project_hotel_count|mapped_hotel_count|mapped_hotel_rate_pct|hotels_with_complaints|hotels_with_zero_complaints|not_found_hotels|matched_complaint_count,Hotel/area coverage evidence
reports/sikayetvar_cross_platform_visibility.csv,csv,CROSS_SOURCE,3999,2026-08-26T07:02:08.199464083,32.0,9.0,hotel_name|area|matched_complaint_count|google_review_count|google_rating|cross_platform_complaint_visibility_per_1000_google_reviews|low_google_review_denominator_flag|small_n_flag|interpretation_caution,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_date_parse_patterns.csv,csv,OTHER,422,2026-08-26T07:02:08.199464083,4.0,6.0,complaint_date_pattern|row_count|parse_success_count|approximate_count|example|parse_success_pct,Other Sikayetvar-related repository asset
reports/sikayetvar_eda_key_findings.txt,txt,EDA,1883,2026-08-26T07:02:08.204386473,,,,Descriptive EDA or cross-platform visibility output
reports/sikayetvar_eda_limitations.txt,txt,EDA,1448,2026-08-26T07:02:08.204386473,,,,Descriptive EDA or cross-platform visibility output
