hotel_id,hotel_name,area,mapping_status,page_accessible,total_google_review_count_master,reviews_collected,reviews_with_text,rating_1_n,rating_2_n,rating_3_n,rating_4_n,rating_5_n,low_n,mixed_n,high_n,target_cap,target_reached,blocked,error_type,last_checkpoint,collection_completed_at
BOD146,Olivia Hotel,Torba,,,144,,,,,,,,,,,75,,,,,
BOD083,Oza butik hotel,Gümüşlük,,,143,,,,,,,,,,,75,,,,,
BOD054,Lavinya Maison,Göltürkbükü,,,139,,,,,,,,,,,75,,,,,
BOD001,Aksoy Taş Ev,Akyarlar,,,135,,,,,,,,,,,75,,,,,
BOD165,Caja by Maxx Royal,Türkbükü,,,135,,,,,,,,,,,75,,,,,
BOD027,Meis Apart Hotel,Bitez,,,134,,,,,,,,,,,75,,,,,
BOD134,Yakamoz Otel,Ortakent-Yahşi,,,133,,,,,,,,,,,75,,,,,
BOD055,Lavinya Otel Göltürkbükü,Göltürkbükü,,,132,,,,,,,,,,,75,,,,,
BOD121,Eskiyalı Otel,Ortakent-Yahşi,,,130,,,,,,,,,,,75,,,,,
BOD176,Blue Point Yalikavak,Yalıkavak,,,129,,,,,,,,,,,75,,,,,
BOD093,Malta Bodrum Hotel,Gündoğan,,,127,,,,,,,,,,,75,,,,,
BOD122,Florida Otel,Ortakent-Yahşi,,,127,,,,,,,,,,,75,,,,,
BOD190,The Sign Highlight Hotel,Yalıkavak,,,125,,,,,,,,,,,75,,,,,
BOD179,Lizbonia Otel Yalikavak,Yalıkavak,,,121,,,,,,,,,,,75,,,,,
BOD144,Mira Suites,Torba,,,117,,,,,,,,,,,75,,,,,
BOD135,Yılmaz Hotel | Bodrum Ortakent Otelleri,Ortakent-Yahşi,,,114,,,,,,,,,,,75,,,,,
BOD185,Sezz Hotels Spa Wellness Yalıkavak,Yalıkavak,,,114,,,,,,,,,,,75,,,,,
BOD123,Hotel Marma Beach,Ortakent-Yahşi,,,112,,,,,,,,,,,75,,,,,
BOD044,Noa Suite Hotel,Bodrum Merkez,,,98,,,,,,,,,,,75,,,,,
BOD118,Amfora Hotel,Ortakent-Yahşi,,,86,,,,,,,,,,,75,,,,,
BOD188,Tangiers Hotel Yalıkavak,Yalıkavak,,,85,,,,,,,,,,,75,,,,,
BOD025,Halikarya Hotel & Restaurant Beach,Bitez,,,79,,,,,,,,,,,75,,,,,
BOD097,OLİVE TREE HOTEL,Gündoğan,,,79,,,,,,,,,,,75,,,,,
BOD137,Armagan Apart Hotel,Torba,,,78,,,,,,,,,,,75,,,,,
BOD117,Altınkaya Hotel,Ortakent-Yahşi,,,77,,,,,,,,,,,75,,,,,
BOD029,Mumu Bodrum Hotel,Bitez,,,71,,,,,,,,,,,75,,,,,
BOD172,Ailla Yalıkavak,Yalıkavak,,,69,,,,,,,,,,,75,,,,,
BOD091,Gündoğan Suites,Gündoğan,,,67,,,,,,,,,,,75,,,,,
BOD119,"Bodrum Suites Apart Otel, Ortakent - Yahşi",Ortakent-Yahşi,,,62,,,,,,,,,,,75,,,,,
BOD149,Roota Bodrum,Torba,,,56,,,,,,,,,,,75,,,,,
BOD084,Paradise Garden Apartments,Gümüşlük,,,55,,,,,,,,,,,75,,,,,
BOD076,Gümüşlük No3,Gümüşlük,,,52,,,,,,,,,,,75,,,,,
BOD138,Bodrum Blue Bay Otel,Torba,,,51,,,,,,,,,,,75,,,,,
BOD015,The Ni Villas Akyarlar,Akyarlar,,,44,,,,,,,,,,,75,,,,,
BOD182,Root Redrock Villas Yalıkavak - Bodrum,Yalıkavak,,,41,,,,,,,,,,,75,,,,,
BOD085,Paradise Gümüşlük,Gümüşlük,,,37,,,,,,,,,,,75,,,,,
BOD074,Begonvil Gümüşlük,Gümüşlük,,,36,,,,,,,,,,,75,,,,,
BOD094,Marje Villas,Gündoğan,FOUND_EXACT_PLACE_ID,True,33,0,0,0,0,0,0,0,0,0,0,75,False,False,PUBLIC_REVIEW_PANEL_NOT_ACCESSIBLE,2026-08-25T15:50:13+00:00,2026-08-25T15:50:13+00:00
