hotel_id,hotel_name,area,hotel_n,aspect,aspect_count,aspect_mention_rate_pct,small_n_flag
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,TRANSPORT_TRANSFER,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,MANAGEMENT_COMMUNICATION,1,50.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,SPA_WELLNESS,0,0.0,True
BOD151,Sarpedor Boutique Hotel & SPA,Torba,2,SAFETY_SECURITY,0,0.0,True
BOD153,The Oba Hotel,Torba,10,STAFF_SERVICE,3,30.0,False
BOD153,The Oba Hotel,Torba,10,CLEANLINESS_HYGIENE,1,10.0,False
BOD153,The Oba Hotel,Torba,10,FOOD_BEVERAGE,5,50.0,False
BOD153,The Oba Hotel,Torba,10,ROOM,6,60.0,False
BOD153,The Oba Hotel,Torba,10,BEACH_SEA,2,20.0,False
BOD153,The Oba Hotel,Torba,10,POOL,1,10.0,False
BOD153,The Oba Hotel,Torba,10,FACILITIES_MAINTENANCE,2,20.0,False
BOD153,The Oba Hotel,Torba,10,RESERVATION,5,50.0,False
BOD153,The Oba Hotel,Torba,10,PAYMENT_REFUND,8,80.0,False
BOD153,The Oba Hotel,Torba,10,PRICE_VALUE,6,60.0,False
BOD153,The Oba Hotel,Torba,10,CHECKIN_CHECKOUT,0,0.0,False
BOD153,The Oba Hotel,Torba,10,AIR_CONDITIONING,0,0.0,False
BOD153,The Oba Hotel,Torba,10,NOISE,2,20.0,False
BOD153,The Oba Hotel,Torba,10,FAMILY_CHILDREN,3,30.0,False
BOD153,The Oba Hotel,Torba,10,TRANSPORT_TRANSFER,0,0.0,False
BOD153,The Oba Hotel,Torba,10,MANAGEMENT_COMMUNICATION,5,50.0,False
BOD153,The Oba Hotel,Torba,10,SPA_WELLNESS,1,10.0,False
BOD153,The Oba Hotel,Torba,10,SAFETY_SECURITY,1,10.0,False
BOD158,Arin Resort Bodrum,Turgutreis,1,STAFF_SERVICE,1,100.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,CLEANLINESS_HYGIENE,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,FOOD_BEVERAGE,1,100.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,ROOM,1,100.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,BEACH_SEA,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,POOL,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,FACILITIES_MAINTENANCE,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,RESERVATION,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,PAYMENT_REFUND,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,PRICE_VALUE,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,CHECKIN_CHECKOUT,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,AIR_CONDITIONING,1,100.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,NOISE,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,FAMILY_CHILDREN,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,TRANSPORT_TRANSFER,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,MANAGEMENT_COMMUNICATION,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,SPA_WELLNESS,0,0.0,True
BOD158,Arin Resort Bodrum,Turgutreis,1,SAFETY_SECURITY,0,0.0,True
BOD160,La Blanche Resort Bodrum,Turgutreis,12,STAFF_SERVICE,10,83.33333333333333,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,CLEANLINESS_HYGIENE,8,66.66666666666667,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,FOOD_BEVERAGE,6,50.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,ROOM,9,75.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,BEACH_SEA,6,50.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,POOL,5,41.666666666666664,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,FACILITIES_MAINTENANCE,7,58.333333333333336,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,RESERVATION,3,25.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,PAYMENT_REFUND,4,33.333333333333336,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,PRICE_VALUE,3,25.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,CHECKIN_CHECKOUT,0,0.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,AIR_CONDITIONING,5,41.666666666666664,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,NOISE,1,8.333333333333334,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,FAMILY_CHILDREN,8,66.66666666666667,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,TRANSPORT_TRANSFER,1,8.333333333333334,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,MANAGEMENT_COMMUNICATION,9,75.0,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,SPA_WELLNESS,1,8.333333333333334,False
BOD160,La Blanche Resort Bodrum,Turgutreis,12,SAFETY_SECURITY,4,33.333333333333336,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,STAFF_SERVICE,22,78.57142857142857,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,CLEANLINESS_HYGIENE,18,64.28571428571429,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,FOOD_BEVERAGE,13,46.42857142857143,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,ROOM,18,64.28571428571429,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,BEACH_SEA,10,35.714285714285715,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,POOL,12,42.857142857142854,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,FACILITIES_MAINTENANCE,13,46.42857142857143,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,RESERVATION,14,50.0,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,PAYMENT_REFUND,11,39.285714285714285,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,PRICE_VALUE,11,39.285714285714285,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,CHECKIN_CHECKOUT,2,7.142857142857143,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,AIR_CONDITIONING,2,7.142857142857143,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,NOISE,1,3.5714285714285716,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,FAMILY_CHILDREN,9,32.142857142857146,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,TRANSPORT_TRANSFER,3,10.714285714285714,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,MANAGEMENT_COMMUNICATION,16,57.142857142857146,False
BOD161,MyElla Hotel Resort & Spa,Turgutreis,28,SPA_WELLNESS,3,10.714285714285714,False
