hotel_id,hotel_name,area,detected_sikayetvar_hotel_name,source_url,mapping_status,confidence,page_accessible,visible_complaint_count,checked_at,complaint_count,unique_complaint_count,detail_nonempty_count,company_response_count,matched_complaint_count,review_required_complaint_count,checked_on_sikayetvar,valid_page,hotels_with_complaints,hotels_with_zero_complaints,not_found,review_required,wrong_entity,unprocessed
BOD088,Baia Bodrum Hotel,Gündoğan,Baia Bodrum Hotel,https://www.sikayetvar.com/baia-bodrum-hotel,AMBIGUOUS,0.85,True,0.0,2026-08-25T12:38:38.067966+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD089,Cape Bodrum Luxury Hotel & Beach,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:48.895170+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD090,Costa Farilya Special Class Hotel Bodrum,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:38:57.823604+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD091,Gündoğan Suites,Gündoğan,Gündoğan,https://www.sikayetvar.com/gundogan,REVIEW_REQUIRED,0.637,True,0.0,2026-08-25T12:39:03.446491+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD092,Liona Hotel,Gündoğan,Lion Hotel,https://www.sikayetvar.com/lion-hotel,REVIEW_REQUIRED,0.6667,True,0.0,2026-08-25T12:39:18.956332+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD093,Malta Bodrum Hotel,Gündoğan,Bodrum Park Resort,https://www.sikayetvar.com/bodrum-park-resort,REVIEW_REQUIRED,0.2773,True,22.0,2026-08-25T12:39:28.523250+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD094,Marje Villas,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:39:38.200255+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD095,Mivara Luxury Bodrum,Gündoğan,Mivara Luxury Resort & Spa Bodrum,https://www.sikayetvar.com/mivara-luxury-resort-spa-bodrum,REVIEW_REQUIRED,0.6419,True,0.0,2026-08-25T12:39:46.511218+00:00,0,0,0,0,0,0,True,False,False,False,False,True,False,False
BOD096,Olira Boutique Hotel&SPA,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:00.211047+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD097,OLİVE TREE HOTEL,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:11.245252+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD098,Swissôtel Living Bodrum,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:18.327057+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD099,Villa Oliva Butik Otel,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:29.340945+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD100,Villa Rustica Hotel,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:40.148862+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD101,Vita Bella Hotel Resort & Spa,Gündoğan,,,NOT_FOUND,0.0,False,,2026-08-25T12:40:52.820141+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
BOD102,Akyalı Butik Hotel,Güvercinlik,,,NOT_FOUND,0.0,False,,2026-08-25T12:41:06.672539+00:00,0,0,0,0,0,0,True,False,False,False,True,False,False,False
