complaint_id,hotel_id,hotel_name,area,company_response_exists_clean,complaint_date,google_rating,google_review_count,aspect,matched,matched_keywords
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,ROOM,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,BEACH_SEA,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,POOL,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,FACILITIES_MAINTENANCE,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,RESERVATION,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,PAYMENT_REFUND,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,PRICE_VALUE,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,CHECKIN_CHECKOUT,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,AIR_CONDITIONING,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,NOISE,False,
diamond-of-bodrum-5-yildizli-otelde-donuyoruz-video,BOD040,Diamond of Bodrum Hotel,Bodrum Merkez,False,2025-04-02 15:37:00,4.1,3022,FAMILY_CHILDREN,False,
