hotel_id,hotel_name,area,complaint_n,aspect_AIR_CONDITIONING_mention_rate_pct,aspect_BEACH_SEA_mention_rate_pct,aspect_CHECKIN_CHECKOUT_mention_rate_pct,aspect_CLEANLINESS_HYGIENE_mention_rate_pct,aspect_FACILITIES_MAINTENANCE_mention_rate_pct,aspect_FAMILY_CHILDREN_mention_rate_pct,aspect_FOOD_BEVERAGE_mention_rate_pct,aspect_MANAGEMENT_COMMUNICATION_mention_rate_pct,aspect_NOISE_mention_rate_pct,aspect_PAYMENT_REFUND_mention_rate_pct,aspect_POOL_mention_rate_pct,aspect_PRICE_VALUE_mention_rate_pct,aspect_RESERVATION_mention_rate_pct,aspect_ROOM_mention_rate_pct,aspect_SAFETY_SECURITY_mention_rate_pct,aspect_SPA_WELLNESS_mention_rate_pct,aspect_STAFF_SERVICE_mention_rate_pct,aspect_TRANSPORT_TRANSFER_mention_rate_pct,company_response_rate_in_corpus,median_response_time_days,median_complaint_word_count,median_view_count,google_rating,google_review_count,official_star_rating_verified,official_room_count,nlp_sample_tier,nlp_feature_reliability,small_n_flag
BOD045,Salmakis Resort & Spa,Bodrum Merkez,7,14.285714285714286,42.857142857142854,0.0,71.42857142857143,85.71428571428571,0.0,71.42857142857143,71.42857142857143,0.0,71.42857142857143,14.285714285714286,42.857142857142854,14.285714285714286,85.71428571428571,14.285714285714286,42.857142857142854,100.0,0.0,0.0,,194.0,84.0,4.2,2681,,,MEDIUM_SAMPLE,MEDIUM,False
BOD113,Kadıkale Resort,Kadıkalesi,7,28.571428571428573,57.142857142857146,14.285714285714286,71.42857142857143,28.571428571428573,14.285714285714286,57.142857142857146,42.857142857142854,28.571428571428573,28.571428571428573,28.571428571428573,42.857142857142854,0.0,85.71428571428571,0.0,28.571428571428573,71.42857142857143,14.285714285714286,28.57142857142857,0.0114583333333333,175.0,409.5,4.0,2121,5.0,197.0,MEDIUM_SAMPLE,MEDIUM,False
BOD077,Ladonia Hotels Zemda,Gümüşlük,7,0.0,0.0,0.0,28.571428571428573,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,57.142857142857146,14.285714285714286,0.0,14.285714285714286,0.0,0.0,,137.0,31.0,3.8,376,,,MEDIUM_SAMPLE,MEDIUM,False
BOD067,Sami Beach Hotel,Gümbet,6,0.0,33.333333333333336,0.0,50.0,16.666666666666668,16.666666666666668,33.333333333333336,83.33333333333333,0.0,66.66666666666667,0.0,50.0,83.33333333333333,50.0,50.0,0.0,66.66666666666667,33.333333333333336,0.0,,172.0,513.0,4.0,2089,,,MEDIUM_SAMPLE,MEDIUM,False
BOD110,Titanic Luxury Collection Bodrum,Güvercinlik,5,20.0,0.0,0.0,0.0,40.0,20.0,20.0,60.0,20.0,40.0,0.0,40.0,40.0,20.0,40.0,0.0,60.0,0.0,0.0,,125.0,14.0,4.6,4656,,,MEDIUM_SAMPLE,MEDIUM,False
BOD006,Club Marma Hotel,Akyarlar,5,0.0,0.0,0.0,40.0,40.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,100.0,0.0,0.0,,75.0,849.0,4.3,1373,,,MEDIUM_SAMPLE,MEDIUM,False
BOD041,La Quinta by Wyndham Bodrum,Bodrum Merkez,5,40.0,20.0,0.0,20.0,20.0,0.0,40.0,40.0,0.0,40.0,0.0,40.0,40.0,40.0,0.0,0.0,80.0,20.0,0.0,,111.0,996.0,4.3,1764,4.0,173.0,MEDIUM_SAMPLE,MEDIUM,False
BOD012,Selectum Collection Bodrum,Akyarlar,4,0.0,25.0,0.0,100.0,75.0,25.0,75.0,75.0,0.0,50.0,25.0,75.0,0.0,100.0,25.0,0.0,100.0,0.0,0.0,,236.0,475.0,4.5,6514,,,LOW_SAMPLE,LOW,True
BOD016,Xanadu Island,Akyarlar,4,0.0,50.0,25.0,50.0,25.0,25.0,50.0,75.0,25.0,50.0,50.0,50.0,25.0,75.0,0.0,0.0,100.0,0.0,100.0,9.708333333333334,237.5,41.0,4.6,2068,,,LOW_SAMPLE,LOW,True
BOD107,Le Méridien Bodrum Beach Resort,Güvercinlik,4,0.0,25.0,0.0,75.0,25.0,25.0,25.0,25.0,0.0,100.0,0.0,50.0,0.0,25.0,0.0,0.0,50.0,0.0,0.0,,59.5,322.0,4.2,848,,,LOW_SAMPLE,LOW,True
