hotel_id,place_id,hotel_name,area,sikayetvar_company_name,sikayetvar_url,sikayetvar_slug,match_status,match_score,match_method,match_reason,candidate_count,manual_review_required,page_accessible,visible_complaint_count,checked_at
BOD072,ChIJkXZdS0BsvhQR2B_lTbvKswM,VERY CHIC BODRUM,Gümbet,Very Chic Bodrum,https://www.sikayetvar.com/very-chic-bodrum,very-chic-bodrum,FOUND_EXACT,0.85,slug_guess,score=0.85 name_sim=1.0 bodrum=True area=False method=slug_guess,1,False,True,3,2026-08-25T12:36:15.790088+00:00
BOD073,ChIJKxy7qO50vhQRtPjXO1brYXM,Arriba Apartment & Restaurant & Bungalows,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:36:26.527078+00:00
BOD074,ChIJ6zcjZiV1vhQRyyjNHZwIoI4,Begonvil Gümüşlük,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:36:33.571356+00:00
BOD075,ChIJiV_oOwsNvhQRUZiyhoOACos,Benjamin Otel,Gümüşlük,Benjamin,https://www.sikayetvar.com/benjamin,benjamin,REVIEW_REQUIRED,0.5333,slug_guess,score=0.5333 name_sim=0.7619 bodrum=False area=False method=slug_guess,1,True,True,0,2026-08-25T12:36:40.922567+00:00
BOD076,ChIJbSnvjO50vhQRkL_tKcHMxUA,Gümüşlük No3,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:36:47.967129+00:00
BOD077,ChIJBYunbel0vhQRb4Nuj9bewJs,Ladonia Hotels Zemda,Gümüşlük,Ladonia Hotels Zemda,https://www.sikayetvar.com/ladonia-hotels-zemda,ladonia-hotels-zemda,FOUND_EXACT,0.7,slug_guess,score=0.7 name_sim=1.0 bodrum=False area=False method=slug_guess,1,False,True,7,2026-08-25T12:36:53.535151+00:00
BOD078,ChIJCdIJiPt1vhQRS3-Kn7JaEoU,Liman Hotel Gümüslük (Adult only),Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:37:03.050158+00:00
BOD079,ChIJTyhOR-10vhQRugeKxp4chBc,Metin's Gümüşlük - Hotel & Restaurant,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:37:13.849692+00:00
BOD080,ChIJWaJoi-50vhQRqlVRnuxIHAo,Myndos Oda & kahvalti,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:37:24.550685+00:00
BOD081,ChIJTycZePt1vhQRg_c7eAH5CT4,Oda Bodrum Gümüşlük,Gümüşlük,Golden Age Crystal Bodrum,https://www.sikayetvar.com/golden-age-crystal-bodrum,golden-age-crystal-bodrum,REVIEW_REQUIRED,0.43,search_fallback,score=0.43 name_sim=0.4 bodrum=True area=False method=search_fallback,1,True,True,8,2026-08-25T12:37:30.026821+00:00
BOD082,ChIJ7yRkgO50vhQRDbRpk5bhV2w,Otel Gümüşlük,Gümüşlük,Gümüşlük,https://www.sikayetvar.com/gumusluk,gumusluk,REVIEW_REQUIRED,0.6833,slug_guess,score=0.6833 name_sim=0.7619 bodrum=False area=True method=slug_guess,1,True,True,0,2026-08-25T12:37:35.684821+00:00
BOD083,ChIJfwHwVD51vhQRqizjxcZItOo,Oza butik hotel,Gümüşlük,Aroma Butik Hotel,https://www.sikayetvar.com/aroma-butik-hotel,aroma-butik-hotel,REVIEW_REQUIRED,0.6125,search_fallback,score=0.6125 name_sim=0.875 bodrum=False area=False method=search_fallback,5,True,True,2,2026-08-25T12:37:56.046008+00:00
BOD084,ChIJcYwdoe50vhQRx0iib85SoFE,Paradise Garden Apartments,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:38:04.966228+00:00
BOD085,ChIJ6f_vtgR1vhQRpfYoCzo-IhQ,Paradise Gümüşlük,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:38:12.114562+00:00
BOD086,ChIJcYplw0R0vhQRzWpJ3M601Qw,Vega Aparts,Gümüşlük,,,,NOT_FOUND,0.0,no_candidate,No slug guess or alias resolved to a real page,0,False,False,,2026-08-25T12:38:21.160824+00:00
